"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","all.dvs.t2","all.dvs.t3","all.dvs.t4","trans.tolerance.dv.t0","trans.tolerance.dv.t1","trans.tolerance.dv.t2","trans.tolerance.dv.t3","trans.tolerance.dv.t4","miami_trans_law_t0_avg","miami_trans_law_t1_avg","miami_trans_law_t2_avg","miami_trans_law_t3_avg","miami_trans_law_t4_avg","gender_nonconformity_t0","gender_nonconformity_t1","gender_nonconformity_t2","gender_nonconformity_t3","gender_nonconformity_t4","treatment.delivered","t1.resid","transformed.outcome"
"66556",65698,29,"D","African American",0,1,0,0,0,1,0,1,0,2,-1,1,-2,-1,-2,-2,-1,2,-3,83,0,0,94,49,2,0,1,1,0,0,-1.45033025741577,"",2,-2,71,3,83,-2,-2,-2,-2,-2,-2,1,3,-1,50,0,29,0,87,-2,-2,-2,-2,-2,2,2,-2,-2,1,2,0,50,50,5,24,91,-2,0,-2,-2,-2,0,-2,0,0,"Yes, I could see and hear the ad",0,1,-0.179102078080177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"Recycling",1,0,-6.6307687118794e-10,0,"Undecided",NA,NA,NA,3,"No",0,35,"june20_10026","june20_16",-1.45033025741577,0,-2.07456302307965,-0.246678731678326,-1.17394718376167,NA,-1.940303318255,-2.23045673801869,-0.679679228685867,-1.16951754532632,NA,0.5,0,1,1,NA,-0.880250101748978,-1.30883732249572,-1.17246246956776,-0.605992241176449,NA,FALSE,-0.392003608525093,0.784007217050187
"66558",34091,35,"D","African American",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,50,50,50,100,3,2,1,1,0,3,0.0830728486180305,"",3,3,100,100,100,2,-2,0,0,2,0,1,3,3,100,100,100,100,50,0,2,0,0,0,1,0,2,0,1,3,3,50,50,100,100,100,0,0,0,0,0,2,0,2,0,"Yes, I could see and hear the ad",3,1,1.01065123081207,3,3,94,99,95,-2,-2,-2,0,0,-2,2,0,2,1,0,3,0,"Trans-Equality",1,0,0.0711129382252693,1,"",5,10,10,13,"Yes",1,56,"june20_10048","june20_305",0.559489369392395,0,0.981637099176387,0.806179918540727,0.983279599405507,0.340906928861085,-0.0845401336505679,0.807246958762083,0.742843980937069,0.94629449482901,0.279987153373725,0,3,3,3,3,0.547622133241092,0.456756809811638,1.25061480587308,0.633712229251738,-0.502006729456036,TRUE,0.824031596800984,1.64806319360197
"66560",32017,72,"N","African American",1,1,0,0,1,1,1,0,0,-1,-1,1,-2,0,0,0,0,0,0,100,50,50,50,50,0,1,1,1,0,1,-0.468081802129745,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Recycling",1,0,-0.949507176876068,0,"Against",NA,NA,NA,30,"No",1,5,"june20_10061","june20_77",-0.468081802129745,1,NA,NA,NA,NA,-0.0845401336505679,NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.386436396228105,NA,NA,NA,NA,FALSE,NA,NA
"66561",22968,63,"D","African American",1,1,0,0,1,1,1,1,0,0,-3,0,0,0,0,0,0,0,0,100,50,50,50,100,2,0,1,1,1,1,0.0140882264822721,"",0,2,100,50,41,0,0,0,0,0,0,1,3,0,50,0,50,50,100,2,0,0,0,-1,0,0,0,0,1,0,0,100,50,50,50,100,0,0,0,0,0,0,0,0,0,"Yes, I could see and hear the ad",2,1,-0.682037174701691,0,0,100,50,50,0,0,0,0,0,0,0,0,0,1,0,3,0,"Trans-Equality",1,0,-0.550337672233582,1,"",5,10,10,12,"Yes",1,56,"june20_10104","june20_289",0.0249976254999638,0,-0.193447589150985,-0.163173835783981,-0.233397028950038,-0.294638307381971,-0.0845401336505679,-0.0961481004795024,-0.1575080214004,0.0242335012548508,-0.0304401299463182,-1.5,1,1.5,0,0,0.547622133241092,0.559228919758662,1.27124621913859,0.633712229251738,0.768504638122952,TRUE,0.0389698462432814,0.0779396924865628
"66563",38268,51,"N","Caucasian",1,0,1,0,1,1,0,0,0,2,2,1,0,-2,0,0,1,-1,2,0,58,47,50,61,0,3,1,1,1,0,0.138925403356552,"",-1,-1,0,30,50,0,0,1,-1,0,0,1,3,1,9,30,50,80,100,0,-1,0,1,1,1,0,-1,-2,1,1,1,0,50,50,70,100,0,-1,0,-1,1,0,0,-1,-2,"Yes, I could see and hear the ad",-3,1,1.05831050872803,1,2,0,50,21,0,0,1,0,1,1,0,1,-2,1,0,3,0,"Recycling",1,0,-0.101048409938812,0,"In Favor",NA,NA,NA,0,"Yes",0,50,"june20_10106","june20_148",0.138925403356552,1,-0.846974471496779,0.377212099368963,0.105804355911079,0.43636964369976,0.144804956482562,-0.321581287218878,-0.15609392260498,-0.244166184914216,0.281483487531448,2,-1,2,1,1.5,-0.440005277800652,0.559228919758662,0.681847878444388,0.0161215512702245,0.768504638122952,FALSE,-0.499240969708705,0.998481939417409
"66565",63418,26,"D","African American",1,1,0,0,1,1,0,1,0,2,0,2,-2,0,0,0,-1,0,0,75,80,74,74,100,0,2,1,1,0,3,0.039139810949564,"",0,2,74,50,70,-2,-1,0,0,0,0,1,2,0,50,50,50,50,50,-1,1,0,-1,1,0,1,-1,-1,1,0,2,50,50,50,50,50,-1,-1,0,-1,1,0,0,-1,-1,"Yes, I could see and hear the ad",0,1,0.279513299465179,2,2,77,50,50,-2,-1,0,-2,0,0,0,-1,-1,1,1,0,1,"Recycling",1,0,-6.6307687118794e-10,0,"Undecided",NA,NA,NA,1,"Yes",1,56,"june20_10197","june20_136",0.039139810949564,0,-0.193447589150985,0.154305536339877,0.106492076318487,0.101586847193562,-0.0721288443019816,-0.0961481004795024,-0.00898264613784259,-0.10922156475095,-0.312393899792471,1,1,1,1,2,-0.386436396228105,-0.816202734445365,0.334074477905388,-0.295092318826046,-0.864236744997742,FALSE,0.0313161062778093,-0.0626322125556187
"66568",11223,62,"D","African American",1,1,0,0,1,1,1,1,0,3,3,1,-1,-2,1,1,1,-1,-2,100,73,76,25,97,-2,2,1,1,0,3,0.450416833162308,"",3,3,100,84,62,-2,-1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,50,50,72,72,84,-2,-2,-1,-2,1,1,0,-1,-1,"",0,1,0.314333558082581,3,3,50,62,56,-2,-1,-1,-2,1,1,1,1,1,1,0,2,0,"Trans-Equality",1,0,-0.9012371301651,1,"",10,10,10,20,"No",1,45,"june20_10253","june20_291",0.0567084699869156,0,1.164466945361,NA,0.563887444562183,0.67637791665361,0.986794525085087,1.06734309638099,NA,0.0483257911663459,0.643182884746324,3,3,NA,2.5,3,-0.907034542535251,-0.816202734445365,NA,-1.22389686690383,-0.864236744997742,TRUE,0.742866524990455,1.48573304998091
"66569",21072,20,"D","African American",0,1,0,0,1,0,0,1,0,2,2,-1,-2,-2,0,-1,1,-1,-3,100,40,50,68,90,-1,2,1,0,0,3,-0.336999893188477,"",1,0,100,50,50,-2,-2,2,0,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,0,0,50,50,50,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,"Trans-Equality",1,0,-0.759921252727509,1,"",10,10,10,20,"No",1,45,"june20_10253","june20_291",0.0567084699869156,0,-0.6956080669521,NA,NA,-0.294638307381971,-0.0760326627220169,-0.616735913164824,NA,NA,-0.0304401299463182,2,0.5,NA,NA,0,-1.37406380726985,-1.30883732249572,NA,NA,0.768504638122952,TRUE,-0.065033746000826,-0.130067492001652
"66570",67537,51,"D","African American",1,1,0,0,1,1,1,1,0,3,3,-1,-2,0,2,1,1,0,3,100,100,100,100,99,2,1,1,1,1,3,1.1067453622818,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,-0.982616424560547,1,"",10,10,10,0,"No",1,32,"june20_10254","june20_209",1.1067453622818,0,NA,NA,NA,NA,1.51584880610904,NA,NA,NA,NA,3,NA,NA,NA,NA,-0.386436396228105,NA,NA,NA,NA,TRUE,NA,NA
"66575",57948,72,"D","African American",0,1,0,0,1,1,1,1,0,3,0,2,-2,-2,-2,-2,2,2,-3,100,0,0,50,100,0,4,1,0,0,3,-1.38712787628174,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,1.06305634975433,1,"",10,10,10,0,"No",1,32,"june20_10332","june20_19",-1.38712787628174,0,NA,NA,NA,NA,-1.14865817093488,NA,NA,NA,NA,1.5,NA,NA,NA,NA,-1.37406380726985,NA,NA,NA,NA,TRUE,NA,NA
